ENLIGHTEN Version,2.2.7
Measurement ID,20210317-132409-250580-WP-00532
Serial Number,WP-00532
Model,WP-532-R-SR-S
Label,13:24:09 WP-00532
Declared Match,
Declared Score,0
Scan Averaging,15
Boxcar,0
Technique,Scope
Baseline Correction Algo,
ROI Pixel Start,1023
ROI Pixel End,1023
Slit Width,50
Vignetted,False
Interpolated,False
Raman Intensity Corrected,False
Deconvolved,False
Integration Time,2
Timestamp,2021-03-17 13:24:09.250580
Note,
Temperature,9.942695953194743
CCD C0,534.4705200195312
CCD C1,0.12332911789417267
CCD C2,-1.4740236110810656e-05
CCD C3,-2.6965287780456038e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,532.0
Laser Enable,False
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,534.47,86.89,1.13,939.53,938.40
1,534.59,91.20,-1.33,937.93,939.27
2,534.72,95.52,0.20,937.93,937.73
3,534.84,99.83,0.40,935.67,935.27
4,534.96,104.13,2.13,936.40,934.27
5,535.09,108.44,-0.80,937.27,938.07
6,535.21,112.74,1.87,936.87,935.00
7,535.33,117.03,1.00,937.87,936.87
8,535.46,121.33,-0.27,935.20,935.47
9,535.58,125.62,1.93,937.33,935.40
10,535.70,129.91,1.53,937.80,936.27
11,535.83,134.20,0.93,939.87,938.93
12,535.95,138.48,0.80,938.13,937.33
13,536.07,142.76,-0.33,935.40,935.73
14,536.19,147.03,1.00,935.27,934.27
15,536.32,151.31,1.13,936.73,935.60
16,536.44,155.58,-1.67,937.07,938.73
17,536.56,159.85,0.80,936.67,935.87
18,536.69,164.11,0.33,937.33,937.00
19,536.81,168.37,-1.13,934.60,935.73
20,536.93,172.63,0.20,935.67,935.47
21,537.05,176.89,-0.40,935.87,936.27
22,537.18,181.14,0.47,938.60,938.13
23,537.30,185.39,0.13,937.27,937.13
24,537.42,189.64,1.00,935.27,934.27
25,537.54,193.88,1.93,936.73,934.80
26,537.67,198.12,0.13,935.53,935.40
27,537.79,202.36,0.47,937.53,937.07
28,537.91,206.60,-1.73,934.27,936.00
29,538.03,210.83,1.33,938.13,936.80
30,538.16,215.06,-2.53,933.73,936.27
31,538.28,219.28,2.73,938.27,935.53
32,538.40,223.51,1.60,936.00,934.40
33,538.52,227.73,-1.33,936.27,937.60
34,538.65,231.94,1.27,937.33,936.07
35,538.77,236.16,1.53,936.73,935.20
36,538.89,240.37,-2.33,934.87,937.20
37,539.01,244.58,1.67,937.93,936.27
38,539.14,248.78,0.73,937.93,937.20
39,539.26,252.99,2.40,939.07,936.67
40,539.38,257.19,2.33,937.67,935.33
41,539.50,261.38,-1.67,933.93,935.60
42,539.62,265.58,1.80,938.07,936.27
43,539.75,269.77,2.07,938.93,936.87
44,539.87,273.95,9.87,948.27,938.40
45,539.99,278.14,14.00,951.47,937.47
46,540.11,282.32,13.40,950.13,936.73
47,540.23,286.50,10.40,947.13,936.73
48,540.36,290.68,2.80,940.53,937.73
49,540.48,294.85,0.60,939.07,938.47
50,540.60,299.02,1.60,940.27,938.67
51,540.72,303.19,-0.93,938.00,938.93
52,540.84,307.35,-2.67,936.87,939.53
53,540.97,311.51,0.73,938.80,938.07
54,541.09,315.67,-1.20,938.00,939.20
55,541.21,319.83,1.00,940.40,939.40
56,541.33,323.98,-1.40,940.47,941.87
57,541.45,328.13,-3.13,936.33,939.47
58,541.57,332.28,-4.13,936.80,940.93
59,541.70,336.42,0.27,940.00,939.73
60,541.82,340.56,-3.33,939.00,942.33
61,541.94,344.70,-1.33,937.80,939.13
62,542.06,348.84,-3.73,936.33,940.07
63,542.18,352.97,-1.60,939.47,941.07
64,542.30,357.10,1.33,940.53,939.20
65,542.42,361.23,-2.67,938.47,941.13
66,542.55,365.35,0.00,940.67,940.67
67,542.67,369.47,-2.13,939.27,941.40
68,542.79,373.59,-1.60,937.53,939.13
69,542.91,377.70,-1.27,937.73,939.00
