Wavelength,Intensity
534.47,11491
534.59,11536
534.72,11616
534.84,10927
534.96,11643
535.09,11753
535.21,11728
535.33,13068
535.46,11842
535.58,11369
535.7,12556
535.83,14502
535.95,12214
536.07,27850
536.19,12214
536.32,11751
536.44,14295
536.56,11476
536.69,12309
536.81,12366
536.93,12383
537.05,12374
537.18,12299
537.3,12947
537.42,12886
537.54,12605
537.67,13046
537.79,14498
537.91,14805
538.03,16132
538.16,17617
538.28,18048
538.4,16637
538.52,15402
538.65,14908
538.77,16203
538.89,14409
539.01,13961
539.14,14169
539.26,14374
539.38,13315
539.5,13516
539.62,14124
539.75,18329
539.87,32480
539.99,43022
540.11,44243
540.23,38086
540.36,23724
540.48,20639
540.6,18606
540.72,18745
540.84,18578
540.97,19248
541.09,18532
541.21,18386
541.33,18221
541.45,17961
541.57,16596
541.7,17036
541.82,18236
541.94,16611
542.06,16374
542.18,15743
542.3,15462
542.42,15874
542.55,16890
542.67,23779
542.79,16062
542.91,16142
543.03,16100
543.15,16290
543.27,17279
543.39,18031
543.52,17008
543.64,16115
543.76,16003
543.88,15637
544,16248
544.12,15122
544.24,16706
544.36,16320
544.48,15804
544.6,16848
544.72,17628
544.85,17868
544.97,22549
545.09,16691
545.21,17562
545.33,16252
545.45,16309
545.57,16075
545.69,18048
545.81,15935
545.93,15760
546.05,22033
546.17,16810
546.29,18318
546.41,17055
546.53,16345
546.65,17308
546.77,17552
546.89,16436
547.01,16784
547.13,16218
547.25,16780
547.37,16670
547.49,16404
547.61,16975
547.73,17321
547.85,17051
547.97,18771
548.09,17833
548.21,17484
548.33,17564
548.45,17308
548.57,18164
548.69,17608
548.81,17613
548.93,18568
549.05,17431
549.17,18207
549.29,18627
549.41,18278
549.53,19122
549.65,17566
549.77,17285
549.89,16738
550.01,17702
550.13,18327
550.25,18073
550.37,17530
550.49,17928
550.61,18367
550.73,21346
550.84,17368
550.96,18171
551.08,17919
551.2,17906
551.32,17518
551.44,17704
551.56,18067
551.68,18513
551.8,17852
551.92,17213
552.04,20117
552.15,18399
552.27,20630
552.39,18532
552.51,18990
552.63,18223
552.75,18540
552.87,17590
552.99,18952
553.1,19225
553.22,19753
553.34,18619
553.46,18137
553.58,19973
553.7,18335
553.81,19223
553.93,19753
554.05,22278
554.17,19544
554.29,18304
554.41,19045
554.52,19443
554.64,19335
554.76,19481
554.88,19789
555,19350
555.12,19574
555.23,20212
555.35,20970
555.47,19474
555.59,20011
