ENLIGHTEN Version,2.2.7
Measurement ID,20210319-101104-560203-WP-00532
Serial Number,WP-00532
Model,WP-532-R-SR-S
Label,10:11:04 WP-00532
Declared Match,
Declared Score,0
Scan Averaging,5
Boxcar,0
Technique,Scope
Baseline Correction Algo,
ROI Pixel Start,1023
ROI Pixel End,1023
Slit Width,50
Vignetted,False
Interpolated,False
Raman Intensity Corrected,False
Deconvolved,False
Integration Time,100000
Timestamp,2021-03-19 10:11:04.560203
Note,
Temperature,9.942695953194743
CCD C0,534.4705200195312
CCD C1,0.12332911789417267
CCD C2,-1.4740236110810656e-05
CCD C3,-2.6965287780456038e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,532.0
Laser Enable,False
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
0,534.47,86.89,11375.00,11375.00,
1,534.59,91.20,11383.00,11383.00,
2,534.72,95.52,11662.00,11662.00,
3,534.84,99.83,10684.00,10684.00,
4,534.96,104.13,11348.00,11348.00,
5,535.09,108.44,11624.00,11624.00,
6,535.21,112.74,11538.00,11538.00,
7,535.33,117.03,12863.00,12863.00,
8,535.46,121.33,11679.00,11679.00,
9,535.58,125.62,11271.00,11271.00,
10,535.70,129.91,12446.00,12446.00,
11,535.83,134.20,14338.00,14338.00,
12,535.95,138.48,12134.00,12134.00,
13,536.07,142.76,27620.00,27620.00,
14,536.19,147.03,12068.00,12068.00,
15,536.32,151.31,11669.00,11669.00,
16,536.44,155.58,14247.00,14247.00,
17,536.56,159.85,11263.00,11263.00,
18,536.69,164.11,12176.00,12176.00,
19,536.81,168.37,12182.00,12182.00,
20,536.93,172.63,12260.00,12260.00,
21,537.05,176.89,12206.00,12206.00,
22,537.18,181.14,12068.00,12068.00,
23,537.30,185.39,12734.00,12734.00,
24,537.42,189.64,12626.00,12626.00,
25,537.54,193.88,12375.00,12375.00,
26,537.67,198.12,12710.00,12710.00,
27,537.79,202.36,14300.00,14300.00,
28,537.91,206.60,14433.00,14433.00,
29,538.03,210.83,16019.00,16019.00,
30,538.16,215.06,17537.00,17537.00,
31,538.28,219.28,18037.00,18037.00,
32,538.40,223.51,16531.00,16531.00,
33,538.52,227.73,15430.00,15430.00,
34,538.65,231.94,15009.00,15009.00,
35,538.77,236.16,16345.00,16345.00,
36,538.89,240.37,14519.00,14519.00,
37,539.01,244.58,13906.00,13906.00,
38,539.14,248.78,14223.00,14223.00,
39,539.26,252.99,14300.00,14300.00,
40,539.38,257.19,13140.00,13140.00,
41,539.50,261.38,13323.00,13323.00,
42,539.62,265.58,13759.00,13759.00,
43,539.75,269.77,16856.00,16856.00,
44,539.87,273.95,30010.00,30010.00,
45,539.99,278.14,43160.00,43160.00,
46,540.11,282.32,45982.00,45982.00,
47,540.23,286.50,42132.00,42132.00,
48,540.36,290.68,26644.00,26644.00,
49,540.48,294.85,20755.00,20755.00,
50,540.60,299.02,18650.00,18650.00,
51,540.72,303.19,18709.00,18709.00,
52,540.84,307.35,18735.00,18735.00,
53,540.97,311.51,19356.00,19356.00,
54,541.09,315.67,18359.00,18359.00,
55,541.21,319.83,18276.00,18276.00,
56,541.33,323.98,18107.00,18107.00,
57,541.45,328.13,18025.00,18025.00,
58,541.57,332.28,16525.00,16525.00,
59,541.70,336.42,16839.00,16839.00,
60,541.82,340.56,17953.00,17953.00,
61,541.94,344.70,16347.00,16347.00,
62,542.06,348.84,16117.00,16117.00,
63,542.18,352.97,15479.00,15479.00,
64,542.30,357.10,15244.00,15244.00,
65,542.42,361.23,15449.00,15449.00,
66,542.55,365.35,16651.00,16651.00,
67,542.67,369.47,23460.00,23460.00,
68,542.79,373.59,15777.00,15777.00,
69,542.91,377.70,15874.00,15874.00,
70,543.03,381.82,15832.00,15832.00,
71,543.15,385.93,15783.00,15783.00,
72,543.27,390.03,16945.00,16945.00,
73,543.39,394.14,17776.00,17776.00,
